"location_id","location_type__001","location_type__002","location_type__003","location_type__004","open_soon","latitude","longitude"
"ritzvillesupercharger","supercharger","standard charger","","","1","47.1273723000","-118.3799751000"
"rockfordsupercharger","supercharger","standard charger","","","0","42.2438930000","-88.9788950000"
"rocklin","store","service","supercharger","standard charger","0","38.8005370000","-121.2104850000"
"rockvilleservice","service","","","","0","39.1054008000","-77.1508950000"
"rockymountsupercharger","supercharger","standard charger","","","0","35.9729040000","-77.8468450000"
"rosevillesupercharger","supercharger","standard charger","","","0","38.7712080000","-121.2661490000"
"salinasupercharger","supercharger","standard charger","","","0","38.8773837600","-97.6187150900"
"sanantoniodominion","store","service","","","0","29.6552760000","-98.6263690000"
"sanjuancapistranosupercharger","supercharger","standard charger","","","0","33.4985380000","-117.6630900000"
"sanmarcossupercharger","supercharger","standard charger","","","0","29.8277070000","-97.9796850000"
"sandanesupercharger","supercharger","standard charger","","","0","61.7782403100","6.2132417120"
"santabarbara","store","service","","","0","34.4336260000","-119.7454100000"
"santanarow","store","","","","0","37.3224530000","-121.9479540000"
"santeesupercharger","supercharger","standard charger","","","0","33.4858580000","-80.4757630000"
"savannahsupercharger","supercharger","standard charger","","","0","32.1358850000","-81.2128530000"
"seattlesodo","service","standard charger","","","0","47.5931308000","-122.3262856000"
"seattlewestlake","store","","","","0","47.6230721000","-122.3388407000"
"shorthills","store","","","","0","40.7411850000","-74.3633650000"
"silverthornesupercharger","supercharger","standard charger","","","0","39.6314670000","-106.0708180000"
"sollisupercharger","supercharger","standard charger","","","0","59.3242920000","10.9544480000"
"somersetsupercharger","supercharger","standard charger","","","0","40.0175170000","-79.0771200000"
"springfieldsupercharger","supercharger","standard charger","","","0","44.0826070000","-123.0374580000"
"stantonsupercharger","supercharger","standard charger","","","0","47.1301370000","10.2692310000"
"staugustinesupercharger","supercharger","standard charger","","","0","29.9242860000","-81.4160180000"
"stgallen","store","","","","0","47.4179284000","9.3643968000"
"stjosephsupercharger","supercharger","standard charger","","","0","42.0563570000","-86.4563520000"
"stavanger","store","service","","","0","58.8876860000","5.7059780000"
"stuttgart","store","service","","","0","48.8270680000","9.1000240000"
"sunnyvale","store","service","","","0","37.3575290000","-122.0200060000"
"syosset","service","supercharger","standard charger","","0","40.7999000000","-73.5152000000"
"tampa","service","","","","0","27.9500172000","-82.3543621000"
"thecrystalsupercharger","supercharger","standard charger","","","0","51.5077832700","0.0156141820"
"thedomain","store","standard charger","","","0","30.4032208000","-97.7251790000"
"tiftonsupercharger","supercharger","standard charger","","","0","31.4488470000","-83.5322100000"
"tmltower","store","","","","0","22.3744170000","114.1057500000"
"topanga","store","standard charger","","","0","34.1911359000","-118.6024654000"
"toronto","store","service","supercharger","standard charger","0","43.7405008000","-79.3217339000"
"torrance","service","","","","0","33.8113302000","-118.3317427000"
"triadelphiasupercharger","supercharger","standard charger","","","0","40.0613960000","-80.6024000000"
"trondheim","store","","","","0","63.4405710000","10.4625890000"
"tysonscorner","store","standard charger","","","0","38.9179586000","-77.2217556000"
"uddevallasupercharger","supercharger","standard charger","","","0","58.3516900000","11.8115600000"
"universitytownecentre","store","","","","0","32.8707200000","-117.2111400000"
"vannuys","service","standard charger","","","0","34.1963208000","-118.4932837000"
"vinjesupercharger","supercharger","standard charger","","","0","59.5701310000","7.9925510000"
"washingtonsquare","store","","","","0","45.4510060000","-122.7824800000"
"watertown","service","standard charger","","","0","42.3668800000","-71.2039760000"
"westlosangelessantamonicablvd","service","","","","0","34.0475260000","-118.4455930000"
"westpalmbeach","store","service","supercharger","standard charger","0","26.7781155000","-80.1091072000"
"wickenburgsupercharger","supercharger","standard charger","","","0","33.9702810000","-112.7315030000"
"wilnsdorfsupercharger","supercharger","standard charger","","","0","50.8168730000","8.0857600000"
"winterthur","store","service","","","0","47.4962891000","8.6981642000"
"woodbridgesupercharger","supercharger","standard charger","","","1","40.5575986000","-74.2846022000"
"worthingtonsupercharger","supercharger","standard charger","","","0","43.6338500000","-95.5956470000"
"yumasupercharger","supercharger","standard charger","","","0","32.7266860000","-114.6190930000"
"zevenaarsupercharger","supercharger","standard charger","","","0","51.9407260000","6.0817930000"
"yorkdale","store","standard charger","","","0","43.7247752000","-79.4553801000"
"aspoyasupercharger","supercharger","standard charger","","","0","63.0115110000","7.9759110000"
