"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc18536","destination charger","","","0","25.6460820000","-100.3233250000"
"dc15549","destination charger","","","0","34.5079040000","-117.3259180000"
"dc18548","destination charger","","","0","21.1384190000","-86.7515830000"
"dc18524","destination charger","","","0","19.4323480000","-99.1548550000"
"dc16965","destination charger","","","0","36.2890510000","136.3632710000"
"dc18470","destination charger","standard charger","","0","22.4369294000","114.0235187000"
"dc11858","destination charger","standard charger","","0","22.2702905000","114.1499156000"
"dc13186","destination charger","standard charger","","0","22.3242243000","114.2162812000"
"dc13264","destination charger","standard charger","","0","22.2808208000","114.1671299000"
"dc15834","destination charger","standard charger","","0","22.2657781000","114.2371623000"
"dc17336","destination charger","standard charger","","0","47.0149670000","8.4784160000"
"dc18299","destination charger","standard charger","","0","47.1394670000","10.2769880000"
"dc18337","destination charger","standard charger","","0","47.0268600000","8.4021650000"
"dc9818","destination charger","standard charger","","0","45.3543440000","11.7737380000"
"dc14267","destination charger","standard charger","","0","54.8908600000","10.4117670000"
"dc14750","destination charger","standard charger","","0","60.1924940000","24.8731900000"
"dc9735","destination charger","standard charger","","0","43.2633870000","6.6195710000"
"dc12917","destination charger","standard charger","","0","50.6830420000","-1.9471680000"
"dc13803","destination charger","standard charger","","0","43.4702800000","4.3951650000"
"dc14335","destination charger","standard charger","","0","68.2330910000","14.5708100000"
"dc15491","destination charger","standard charger","","0","53.9966580000","-1.5404730000"
"dc17323","destination charger","standard charger","","0","48.0350150000","7.2760130000"
"dc12440","destination charger","standard charger","","0","53.9467410000","14.1817710000"
"dc12200","destination charger","standard charger","","0","48.0784440000","14.1630300000"
"dc13571","destination charger","standard charger","","0","47.0221460000","4.8353430000"
"dc18999","destination charger","standard charger","","0","50.8687630000","5.8352830000"
"dc17173","destination charger","standard charger","","0","-33.7291980000","151.0068070000"
"dc19409","destination charger","standard charger","","0","-36.8953060000","149.9118800000"
"dc13015","destination charger","standard charger","","0","-36.9841510000","147.1424880000"
"dc17103","destination charger","standard charger","","0","-33.6891150000","151.2239730000"
"dc11265","destination charger","standard charger","","0","-42.1057590000","146.2061300000"
"palladiofolsomsupercharger","supercharger","standard charger","","0","38.6471990000","-121.1183440000"
"dc18885","destination charger","standard charger","","0","-38.3196660000","144.7147510000"
"dc19406","destination charger","standard charger","","0","-43.0097360000","147.9285580000"
"dc19533","destination charger","standard charger","","0","-28.0271800000","153.4332610000"
"dc13687","destination charger","standard charger","","0","22.2803668000","114.1739160000"
"dc17238","destination charger","","","0","41.1016710000","-72.3642350000"
"dc18531","destination charger","","","0","19.3784520000","-99.0953250000"
"dc18532","destination charger","","","0","20.7029420000","-103.3766950000"
"dc14725","destination charger","","","0","45.1115420000","-79.5886140000"
"dc4926","destination charger","","","0","30.6691800000","-81.4585090000"
"dc15620","destination charger","","","0","43.9602750000","-92.4626110000"
"harbinkempinskisupercharger","supercharger","standard charger","","0","45.7986180000","126.5277250000"
"tangshantongyuansupercharger","supercharger","standard charger","","0","39.6761170000","118.2515560000"
"hongkongcastlepeak","service","","","0","22.3735650000","114.1061220000"
"guangzhouwhiteswan","store","","","0","23.1078300000","113.2468010000"
"taipeiskm","store","","","0","25.0366383000","121.5671080000"
