"location_id","location_type__001","location_type__002","location_type__003","open_soon","latitude","longitude"
"dc16680","destination charger","standard charger","","0","46.4827550000","11.2496600000"
"dc21732","destination charger","standard charger","","0","40.8636140000","17.3869910000"
"dc22339","destination charger","standard charger","","0","45.1149990000","2.4276680000"
"dc23503","destination charger","standard charger","","0","41.2946030000","-1.8968940000"
"dc26583","destination charger","standard charger","","0","48.1997600000","7.3252580000"
"dc26679","destination charger","standard charger","","0","51.7879120000","10.9602170000"
"dc27928","destination charger","standard charger","","0","47.3839570000","12.4169010000"
"dc9960","destination charger","standard charger","","0","47.3896770000","13.6115010000"
"dc11694","destination charger","standard charger","","0","50.8317400000","10.5880700000"
"dc14073","destination charger","standard charger","","0","54.8014340000","-1.6757140000"
"dc18294","destination charger","standard charger","","0","46.7803450000","9.6773580000"
"dc20356","destination charger","standard charger","","0","49.3489390000","-0.8551040000"
"dc20860","destination charger","standard charger","","0","70.4781060000","25.0659070000"
"dc21379","destination charger","standard charger","","0","47.2838750000","9.8926990000"
"dc22539","destination charger","standard charger","","0","47.6823830000","2.6372550000"
"dc24129","destination charger","standard charger","","0","44.8859010000","8.6972580000"
"dc25053","destination charger","standard charger","","0","51.8942100000","-2.0315680000"
"dc27979","destination charger","standard charger","","0","55.0821840000","14.7145370000"
"dc27980","destination charger","standard charger","","0","55.1078060000","14.7006980000"
"dc17280","destination charger","standard charger","","0","43.9499330000","10.1775090000"
"dc19233","destination charger","standard charger","","0","43.5994050000","1.4416850000"
"dc22243","destination charger","standard charger","","0","48.6428330000","-1.8718410000"
"dc28321","standard charger","destination charger","","0","48.8380400000","2.5421370000"
"dc23792","destination charger","standard charger","","0","48.2012720000","-0.4352920000"
"dc28324","standard charger","destination charger","","0","49.0314630000","2.0690530000"
"dc24457","destination charger","standard charger","","0","46.9594280000","10.3956270000"
"dc25067","destination charger","standard charger","","0","50.9993470000","-3.3345760000"
"dc28174","destination charger","standard charger","","0","55.4272120000","13.0064070000"
"dc29837","destination charger","standard charger","","0","52.9741610000","-4.2636370000"
"dc12873","destination charger","standard charger","","0","52.5284760000","13.4575330000"
"dc16657","destination charger","standard charger","","0","47.4100290000","10.2541610000"
"dc21058","destination charger","standard charger","","0","47.1094200000","8.3210790000"
"dc22108","destination charger","standard charger","","0","51.6134040000","7.2008650000"
"dc23636","destination charger","standard charger","","0","51.2834810000","8.6614090000"
"dc25810","destination charger","standard charger","","0","47.4493100000","12.3782840000"
"dc26295","destination charger","standard charger","","0","47.0012230000","-2.2334900000"
"dc26801","destination charger","standard charger","","0","45.8408240000","6.2112840000"
"dc27917","destination charger","standard charger","","0","47.0789930000","9.9210560000"
"dc13044","destination charger","standard charger","","0","50.9451440000","5.5167860000"
"dc16353","destination charger","standard charger","","0","53.1178970000","-2.6986380000"
"dc17363","destination charger","standard charger","","0","47.5145870000","-2.5010880000"
"dc24211","destination charger","standard charger","","0","53.0153290000","-4.0896550000"
"dc25811","destination charger","standard charger","","0","47.1154020000","13.1342480000"
"dc26353","destination charger","standard charger","","0","52.3882650000","-4.0289880000"
"dc29761","destination charger","standard charger","","0","37.4049670000","-6.0057400000"
"dc29763","destination charger","standard charger","","0","37.3740440000","-5.9771010000"
"dc16347","destination charger","standard charger","","0","49.4388290000","10.9547740000"
"dc22435","destination charger","standard charger","","0","42.0140090000","12.0820420000"
"dc23738","destination charger","standard charger","","0","44.0721270000","9.9105870000"
"dc24405","destination charger","standard charger","","0","44.0719360000","9.9130980000"
"dc26800","destination charger","standard charger","","0","46.5665560000","12.6871560000"
"dc15145","destination charger","standard charger","","0","44.7293920000","10.3969930000"
"dc20025","destination charger","standard charger","","0","46.7215390000","15.5586260000"
"dc22481","destination charger","standard charger","","0","45.2086080000","3.9975550000"
"dc25863","destination charger","standard charger","","0","46.1558440000","6.6876140000"
"dc26686","destination charger","standard charger","","0","47.1744050000","13.1047560000"
"dc27537","destination charger","standard charger","","0","43.2601420000","16.6420990000"
"dc29760","destination charger","standard charger","","0","37.3780840000","-6.0005990000"
"dc13041","destination charger","standard charger","","0","50.8959890000","5.6717430000"
"dc13046","destination charger","standard charger","","0","50.9658940000","5.4977650000"
"dc15052","destination charger","standard charger","","0","48.9981210000","8.4656980000"
"dc18291","destination charger","standard charger","","0","46.4926720000","9.9021800000"
"dc20513","destination charger","standard charger","","0","45.5625170000","2.9374470000"
"dc20566","destination charger","standard charger","","0","55.2155940000","-6.5443060000"
"dc23078","destination charger","standard charger","","0","46.1568280000","6.6662360000"
"dc25007","destination charger","standard charger","","0","47.6273060000","10.4985060000"
"dc25121","destination charger","standard charger","","0","50.7935710000","3.7688160000"
"dc25867","destination charger","standard charger","","0","44.6044030000","0.7608410000"
"dc27925","destination charger","standard charger","","0","47.1253530000","16.0464500000"
"dc28379","destination charger","standard charger","","0","51.9503920000","-2.6589890000"
"dc20724","standard charger","destination charger","","0","47.2348490000","-2.1675180000"
"dc23126","destination charger","standard charger","","0","48.0009820000","5.4886590000"
"dc23778","destination charger","standard charger","","0","44.8914150000","1.2151460000"
"dc26668","destination charger","standard charger","","0","50.6667960000","11.9792610000"
"dc26963","destination charger","standard charger","","0","53.2359460000","-1.6407030000"
"dc27912","destination charger","standard charger","","0","53.9918910000","11.0116910000"
"dc14269","destination charger","standard charger","","0","46.9485390000","11.9192460000"
"dc19473","destination charger","standard charger","","0","51.8888530000","7.6540640000"
"dc21468","standard charger","destination charger","","0","46.3996310000","4.7402020000"
"dc22425","destination charger","standard charger","","0","44.4400170000","3.1975390000"
"dc22585","destination charger","standard charger","","0","51.0670010000","7.8402760000"
"dc22785","destination charger","standard charger","","0","42.8809320000","-8.5458120000"
"dc24156","destination charger","standard charger","","0","38.7264140000","-9.1471120000"
"dc24310","destination charger","standard charger","","0","41.9387090000","3.2157180000"
"dc24911","destination charger","standard charger","","0","36.8183340000","-2.0667750000"
"dc28603","destination charger","standard charger","","0","45.3142420000","14.2882380000"
"dc28605","destination charger","standard charger","","0","44.9495650000","14.4158520000"
"dc21175","destination charger","standard charger","","0","46.5035380000","7.2881160000"
"dc23601","destination charger","standard charger","","0","47.2605570000","10.1764160000"
"dc25659","destination charger","standard charger","","0","52.2835970000","13.0613390000"
"dc25858","destination charger","standard charger","","0","47.0546340000","13.6113780000"
"dc27976","destination charger","standard charger","","0","42.6709370000","18.1260230000"
"dc28057","destination charger","standard charger","","0","51.7833960000","-4.8012740000"
"dc30440","destination charger","standard charger","","0","47.5198650000","12.2756590000"
"dc24115","destination charger","","","0","38.8618550000","-77.7741480000"
"dc25639","destination charger","","","0","37.9969740000","-84.5289870000"
"dc25978","destination charger","","","0","46.2131870000","-119.2864970000"
"dc26311","destination charger","","","0","33.4721160000","-81.9581710000"
"dc29603","destination charger","","","0","41.9364472000","-88.0390738000"
"dc19760","destination charger","","","0","34.6374180000","-120.2984250000"
"dc28662","destination charger","","","0","41.5560870000","-87.7952990000"
"dc28587","destination charger","","","0","38.0266080000","-107.6710750000"
"dc12100","destination charger","","","0","41.4620770000","-81.9517580000"
"dc23391","destination charger","","","0","33.4373920000","-86.7260070000"
"dc24050","destination charger","","","0","37.3687970000","-79.1733570000"
"dc28940","destination charger","","","0","20.7540380000","-89.8616090000"
"dc29168","destination charger","","","0","39.5020360000","-119.7637130000"
"dc29546","destination charger","","","0","45.5029820000","-73.5687250000"
"dc13940","destination charger","","","0","27.7180910000","-82.7388560000"
"dc18891","destination charger","","","0","43.5470960000","-96.6931960000"
"dc23250","destination charger","","","0","28.0536120000","-82.4310820000"
"dc16261","destination charger","","","0","39.4366900000","-77.8047620000"
"dc4070","destination charger","","","0","38.4996103000","-122.9890892000"
"dc28515","destination charger","standard charger","","0","36.3045670000","126.5198810000"
"dc28909","destination charger","standard charger","","0","36.7102810000","126.1724040000"
"dc27822","destination charger","standard charger","","0","35.5379470000","129.3483290000"
"dc28680","destination charger","","","0","36.2256780000","136.1323270000"
"dc17849","destination charger","standard charger","","0","57.8544330000","12.3979370000"
"dc29762","destination charger","standard charger","","0","37.3902110000","-5.9737040000"
"dc10748","destination charger","standard charger","","0","36.5038280000","-4.9247010000"
"dc29115","destination charger","standard charger","","0","41.0080560000","-8.6450190000"
"dc29006","destination charger","standard charger","","0","47.9235560000","10.2084120000"
