"location_id","location_type__001","location_type__002","open_soon","latitude","longitude"
"nanjingjiangningsupercharger","supercharger","standard charger","1","31.9335010000","118.8018340000"
"nanningguangxisupercharger","supercharger","standard charger","1","22.7906260000","108.4517920000"
"naroomaausupercharger","supercharger","standard charger","1","-36.2184860000","150.1322700000"
"neijiangsichuansupercharger","supercharger","standard charger","1","29.6195650000","104.9937250000"
"newlondonctsupercharger","supercharger","standard charger","1","41.3556539000","-72.0995209000"
"newportnewsvasupercharger","supercharger","standard charger","1","37.0870821000","-76.4730122000"
"newportoregonsupercharger","supercharger","standard charger","1","44.6367836000","-124.0534505000"
"newportrisupercharger","supercharger","standard charger","1","41.4901024000","-71.3128285000"
"niigatajpsupercharger","supercharger","standard charger","1","37.9024940000","139.0232160000"
"nipigononsupercharger","supercharger","standard charger","1","49.0157351000","-88.2683160000"
"norrkopingsesupercharger","supercharger","standard charger","1","58.5805160000","16.1125840000"
"northnaplesflsupercharger","supercharger","standard charger","1","26.2669030000","-81.7896490000"
"novimisupercharger","supercharger","standard charger","1","42.4805900000","-83.4754913000"
"nyborgdksupercharger","supercharger","standard charger","1","55.3103730000","10.7921670000"
"oaklandcasupercharger","supercharger","standard charger","1","37.8043637000","-122.2711137000"
"ogdenutahsupercharger","supercharger","standard charger","1","41.2230000000","-111.9738304000"
"olathekansascitysupercharger","supercharger","standard charger","1","38.8813958000","-94.8191285000"
"omaramanzsupercharger","supercharger","standard charger","1","-44.4869900000","169.9665770000"
"oneontanysupercharger","supercharger","standard charger","1","42.4528571000","-75.0637746000"
"ontariocaliforniasupercharger","supercharger","standard charger","1","34.0633443000","-117.6508876000"
"oparypsyukrainesupercharger","supercharger","standard charger","1","50.1230400000","25.2129420000"
"orangevilleonsupercharger","supercharger","standard charger","1","43.9199788000","-80.0943113000"
"orilliaonsupercharger","supercharger","standard charger","1","44.6082465000","-79.4196783000"
"osakajpsupercharger","supercharger","standard charger","1","34.6722580000","135.4984970000"
"oviedoessupercharger","supercharger","standard charger","1","43.3611240000","-5.8532070000"
"palmdalecaliforniasupercharger","supercharger","standard charger","1","34.5794343000","-118.1164613000"
"paloaltocaliforniasupercharger","supercharger","standard charger","1","37.4418834000","-122.1430195000"
"pamplonaessupercharger","supercharger","standard charger","1","42.8132500000","-1.6452560000"
"panindicuaromxsupercharger","supercharger","standard charger","1","19.9823608000","-101.7552333000"
"parkcityutahsupercharger","supercharger","standard charger","1","40.6460622000","-111.4979729000"
"parkersburgwvsupercharger","supercharger","standard charger","1","39.2667418000","-81.5615135000"
"pembrokepinesflsupercharger","supercharger","standard charger","1","26.0077650000","-80.2962555000"
"perigueuxfrsupercharger","supercharger","standard charger","1","45.1840270000","0.7207840000"
"perthwashingtonsupercharger","supercharger","standard charger","1","-31.9465800000","115.8571370000"
"perthuksupercharger","supercharger","standard charger","1","56.3699070000","-3.4267480000"
"phoenixonesupercharger","supercharger","standard charger","1","33.6686980000","-112.1134950000"
"phoenixtwosupercharger","supercharger","standard charger","1","33.4483771000","-112.0740373000"
"scottsdaleroadsupercharger","supercharger","standard charger","0","33.6235380000","-111.9229860000"
"piacenzaitsupercharger","supercharger","standard charger","0","45.0393420000","9.7538480000"
"pingtungtwsupercharger","supercharger","standard charger","1","22.4497740000","120.5145380000"
"pingxianghunansupercharger","supercharger","standard charger","1","27.6821050000","113.8346250000"
"pitssburghpasupercharger","supercharger","standard charger","1","40.4406248000","-79.9958864000"
"playavistacasupercharger","supercharger","standard charger","1","33.9719826000","-118.4265872000"
"plymouthmeetingpasupercharger","supercharger","standard charger","1","40.1023319000","-75.2743467000"
"pointharborncsupercharger","supercharger","standard charger","1","36.0798796000","-75.7946241000"
"polarisohsupercharger","supercharger","standard charger","1","40.1447137000","-82.9797246000"
"porifisupercharger","supercharger","standard charger","1","61.4819830000","21.7894700000"
"portagelaprariesupercharger","supercharger","standard charger","1","49.9723205000","-98.2903251000"
"portlandmesupercharger","supercharger","standard charger","1","43.6614710000","-70.2553259000"
"portlandnworsupercharger","supercharger","standard charger","1","45.5585876000","-122.7608665000"
"portlandneorsupercharger","supercharger","standard charger","1","45.5711785000","-122.6474828000"
"portlandseorsupercharger","supercharger","standard charger","1","45.4914215000","-122.5929657000"
"princteonnjsupercharger","supercharger","standard charger","1","40.3572976000","-74.6672226000"
"pueryunansupercharger","supercharger","standard charger","1","28.2573610000","104.1554470000"
"qinzhouguangxisupercharger","supercharger","standard charger","1","21.9602730000","108.5131710000"
"queretaromxsupercharger","supercharger","standard charger","1","20.5887932000","-100.3898881000"
"qujiangxiansupercharger","supercharger","standard charger","1","34.2213630000","108.9869410000"
"rawlingswysupercharger","supercharger","standard charger","1","41.7910697000","-107.2386627000"
"reginasksupercharger","supercharger","standard charger","1","50.4452112000","-104.6188944000"
"rehmanaesupercharger","supercharger","standard charger","1","24.1789460000","55.3105180000"
"reynoldsmbsupercharger","supercharger","standard charger","1","49.6239029000","-95.8775593000"
"richmondbccasupercharger","supercharger","standard charger","1","49.1665898000","-123.1335690000"
"richmoncaliforniasupercharger","supercharger","standard charger","1","37.9357576000","-122.3477486000"
"riversideparkflsupercharger","supercharger","standard charger","1","26.1135101000","-80.1637901000"
"riversidecaliforniasupercharger","supercharger","standard charger","0","33.9812660000","-117.3761650000"
"rochesternhsupercharger","supercharger","standard charger","1","43.3045260000","-70.9756186000"
